DATE,INFLATION,UNEMPLOYMENT
1970-01-01,6.92417383485783,67.9175593362334
1971-01-01,6.39534883720931,68.0919674925227
1972-01-01,4.84351713859909,67.593599956566
1973-01-01,11.608623548922,68.1821647192744
1974-01-01,23.2222458076842,67.1866251086419
1975-01-01,11.7312661498708,66.0340520986434
1976-01-01,9.37403638606229,66.1498393771105
1977-01-01,8.16182689596842,66.3388785317958
1978-01-01,4.20956601068684,66.47487526303
1979-01-01,3.70185092546274,67.0764757003398
1980-01-01,7.77858176555714,67.0247479041004
1981-01-01,4.91216291820522,67.1061921930998
1982-01-01,2.74104095563138,67.2672194098484
1983-01-01,1.89971971348492,67.7469755851074
1984-01-01,2.26161369193155,67.2832859788914
1985-01-01,2.03227734608485,67.6911578090386
1986-01-01,0.59558679945326,67.4256220154467
1987-01-01,0.12617684169661,66.8869070102977
1988-01-01,0.678557580457528,67.3912035624885
1989-01-01,2.27228962064317,67.7134524141959
1990-01-01,3.07851628695158,68.4237493559485
1991-01-01,3.25143848753312,69.2770523675218
1992-01-01,1.76028306059266,69.6570290672713
1993-01-01,1.24304589707929,69.6566510776608
1994-01-01,0.695458057868992,69.4594139277238
1995-01-01,-0.127899045020497,69.2554202456667
1996-01-01,0.136600358575949,69.1985377246501
1997-01-01,1.74780458692129,69.9165071159984
1998-01-01,0.661974191385979,70.131026087118
1999-01-01,-0.341296928327639,69.131721936725
2000-01-01,-0.676578683595068,68.8608611154925
2001-01-01,-0.740055504162799,69.2336790311851
2002-01-01,-0.923494026942322,68.4234895924658
2003-01-01,-0.256541816316057,68.2846753880891
2004-01-01,-0.00857338820302,68.6920430190524
2005-01-01,-0.282946068764459,69.2069929822713
2006-01-01,0.249355116079115,69.6706455689419
2007-01-01,0.0600394544986581,70.2101427638184
2008-01-01,1.38007886164923,70.7715974875467
2009-01-01,-1.3528367295172,70.8397367873102
2010-01-01,-0.728243207517742,70.2959176626332
2011-01-01,-0.272455616101254,70.6464596866076
2012-01-01,-0.0440645104433029,70.4002305180132
2013-01-01,0.335037912184809,71.2341164936101
2014-01-01,2.75922671353253,72.3671068951204
2015-01-01,0.795279630579775,72.9612848401284
2016-01-01,-0.127258844489691,74.0400845766814
2017-01-01,0.484199796126387,74.9638971426212
2018-01-01,0.989094598021806,76.3456944743846
2019-01-01,0.468776159383912,77.3585924292289
2020-01-01,-0.0249958340276592,78.017199000872
2021-01-01,-0.233352779398279,77.6995753935524
2022-01-01,2.49770278172251,77.9545200986956
